sep=,
TIME,CH0,
00:25:14,1.743450,
00:25:14,1.744435,
00:25:15,1.741480,
00:25:15,1.742465,
00:25:16,1.740495,
00:25:16,1.743450,
00:25:16,1.742465,
00:25:17,1.741480,
00:25:17,1.743450,
00:25:17,1.741480,
00:25:18,1.743450,
00:25:18,1.743450,
00:25:18,1.771030,
00:25:19,1.746405,
00:25:19,1.744435,
00:25:20,1.745420,
00:25:20,1.746405,
00:25:20,1.744435,
00:25:21,1.745420,
00:25:21,1.744435,
00:25:21,1.744435,
00:25:22,1.741480,
00:25:22,1.743450,
00:25:22,1.742465,
00:25:23,1.742465,
00:25:23,1.742465,
00:25:24,1.743450,
00:25:24,1.745420,
00:25:24,1.743450,
00:25:24,1.743450,
00:25:24,1.742465,
00:25:25,1.743450,
00:25:25,1.744435,
00:25:25,1.744435,
00:25:26,1.744435,
00:25:26,1.742465,
00:25:26,1.742465,
00:25:26,1.743450,
00:25:27,1.743450,
00:25:27,1.743450,
00:25:27,1.741480,
00:25:28,1.741480,
00:25:28,1.741480,
00:25:28,1.741480,
00:25:29,1.741480,
00:25:29,1.739510,
00:25:29,1.739510,
00:25:30,1.742465,
00:25:30,1.742465,
00:25:30,1.743450,
00:25:31,1.742465,
00:25:31,1.739510,
00:25:31,1.742465,
00:25:32,1.744435,
00:25:32,1.744435,
00:25:32,1.741480,
00:25:32,1.743450,
00:25:33,1.742465,
00:25:33,1.743450,
00:25:34,1.741480,
00:25:34,1.744435,
00:25:35,1.733600,
00:25:35,1.736555,
00:25:35,1.737540,
00:25:35,1.738525,
00:25:36,1.739510,
00:25:36,1.740495,
00:25:36,1.740495,
00:25:37,1.740495,
00:25:37,1.765120,
00:25:38,1.732615,
00:25:38,1.763150,
00:25:39,1.729660,
00:25:39,1.731630,
00:25:39,1.732615,
00:25:39,1.730645,
00:25:40,1.734585,
00:25:40,1.736555,
00:25:40,1.735570,
00:25:41,1.737540,
00:25:41,1.736555,
00:25:41,1.737540,
00:25:42,1.737540,
00:25:42,1.737540,
00:25:43,1.739510,
00:25:43,1.740495,
00:25:43,1.739510,
00:25:43,1.740495,
00:25:43,1.740495,
00:25:44,1.739510,
00:25:44,1.739510,
00:25:45,1.740495,
00:25:45,1.740495,
00:25:45,1.740495,
00:25:45,1.740495,
00:25:46,1.741480,
00:25:46,1.738525,
00:25:46,1.739510,
00:25:47,1.741480,
00:25:47,1.740495,
00:25:48,1.739510,
00:25:48,1.740495,
00:25:48,1.744435,
00:25:49,1.743450,
00:25:49,1.741480,
00:25:50,1.742465,
00:25:50,1.739510,
00:25:50,1.738525,
00:25:50,1.739510,
00:25:51,1.740495,
00:25:51,1.738525,
00:25:51,1.737540,
00:25:52,1.738525,
00:25:52,1.738525,
00:25:52,1.738525,
00:25:53,1.739510,
00:25:53,1.738525,
00:25:53,1.740495,
00:25:54,1.739510,
00:25:54,1.738525,
00:25:54,1.740495,
00:25:55,1.739510,
00:25:55,1.737540,
00:25:55,1.736555,
00:25:55,1.737540,
00:25:56,1.738525,
00:25:56,1.737540,
00:25:56,1.738525,
00:25:57,1.736555,
00:25:57,1.739510,
00:25:58,1.737540,
00:25:58,1.737540,
00:25:59,1.737540,
00:25:59,1.739510,
00:25:59,1.738525,
00:26:00,1.738525,
00:26:00,1.738525,
00:26:00,1.740495,
00:26:00,1.739510,
00:26:01,1.741480,
00:26:01,1.741480,
00:26:01,1.742465,
00:26:02,1.738525,
00:26:02,1.741480,
00:26:02,1.741480,
00:26:03,1.740495,
00:26:03,1.740495,
00:26:03,1.740495,
00:26:03,1.738525,
00:26:04,1.738525,
00:26:04,1.736555,
00:26:04,1.737540,
00:26:05,1.736555,
00:26:05,1.736555,
00:26:05,1.737540,
00:26:05,1.737540,
00:26:06,1.740495,
00:26:06,1.738525,
00:26:06,1.740495,
00:26:07,1.741480,
00:26:07,1.742465,
00:26:07,1.741480,
00:26:07,1.743450,
00:26:08,1.742465,
00:26:09,1.740495,
00:26:09,1.735570,
00:26:10,1.736555,
00:26:10,1.735570,
00:26:11,1.737540,
00:26:11,1.734585,
00:26:11,1.735570,
00:26:11,1.735570,
00:26:12,1.736555,
00:26:12,1.737540,
00:26:12,1.738525,
00:26:13,1.737540,
00:26:13,1.736555,
00:26:13,1.738525,
00:26:14,1.738525,
00:26:14,1.739510,
00:26:14,1.738525,
00:26:15,1.740495,
00:26:15,1.739510,
00:26:15,1.740495,
00:26:15,1.739510,
00:26:15,1.740495,
00:26:16,1.740495,
00:26:16,1.740495,
00:26:16,1.740495,
00:26:17,1.740495,
00:26:17,1.740495,
00:26:17,1.739510,
00:26:17,1.741480,
